"Campaign_ID";"Campaign_Goal";"Duration";"Channel_Used";"Conversion_Rate";"CPA";"ROI";"Location";"Clicks";"Impressions";"Engagement_Score";"Date";"Company";"Gender";"Age_Range";"CTR"
712060;"Product Launch";"15 Days";"Instagram";0.14;500.0;0.2;"Austin";512;3036;10;"2022-05-04";"Cozy Corners";"Male";"35-44";16.86
612037;"Product Launch";"15 Days";"Pinterest";0.08;500.0;0.53;"Los Angeles";301;1963;1;"2022-03-08";"Cozy Corners";"Female";"18-24";15.33
831723;"Product Launch";"15 Days";"Twitter";0.1;500.0;0.94;"Austin";517;3052;10;"2022-11-02";"Cozy Corners";"Female";"18-24";16.94
874396;"Market Expansion";"15 Days";"Pinterest";0.14;500.0;1.24;"Las Vegas";307;1982;1;"2022-06-13";"Cozy Corners";"Female";"45-60";15.49
489512;"Increase Sales";"15 Days";"Facebook";0.08;500.0;3.15;"Miami";534;3102;9;"2022-08-10";"Cozy Corners";"Male";"45-60";17.21
494966;"Market Expansion";"15 Days";"Pinterest";0.12;500.0;1.3;"New York";313;2003;1;"2022-04-29";"Cozy Corners";"Female";"45-60";15.63
232039;"Brand Awareness";"15 Days";"Pinterest";0.12;500.0;0.87;"New York";315;2009;1;"2022-05-14";"Cozy Corners";"Female";"25-34";15.68
932268;"Product Launch";"15 Days";"Twitter";0.14;500.0;7.96;"Los Angeles";544;3132;4;"2022-02-16";"Cozy Corners";"Female";"35-44";17.37
574641;"Market Expansion";"15 Days";"Facebook";0.01;500.0;1.39;"Los Angeles";545;3135;6;"2022-11-13";"Cozy Corners";"Male";"25-34";17.38
641796;"Market Expansion";"15 Days";"Twitter";0.06;500.0;2.64;"Miami";550;3148;7;"2022-09-04";"Cozy Corners";"Male";"18-24";17.47
967001;"Product Launch";"15 Days";"Pinterest";0.04;500.0;1.33;"Las Vegas";326;2045;1;"2022-03-24";"Cozy Corners";"Female";"45-60";15.94
475656;"Product Launch";"15 Days";"Instagram";0.12;500.0;0.4;"Las Vegas";567;3199;9;"2022-06-11";"Cozy Corners";"Both";"All ages";17.72
104856;"Increase Sales";"15 Days";"Instagram";0.03;500.0;3.42;"Miami";583;3247;9;"2022-11-18";"Cozy Corners";"Both";"All ages";17.96
339759;"Brand Awareness";"15 Days";"Pinterest";0.07;500.0;0.44;"New York";343;2100;1;"2022-09-24";"Cozy Corners";"Both";"All ages";16.33
991307;"Brand Awareness";"15 Days";"Twitter";0.1;500.0;7.97;"Las Vegas";589;3263;6;"2022-12-20";"Cozy Corners";"Male";"18-24";18.05
110897;"Product Launch";"15 Days";"Pinterest";0.07;500.0;1.17;"Las Vegas";345;2108;1;"2022-08-12";"Cozy Corners";"Female";"45-60";16.37
238711;"Product Launch";"15 Days";"Instagram";0.05;500.0;6.9;"Las Vegas";590;3267;9;"2022-06-30";"Cozy Corners";"Both";"All ages";18.06
220211;"Increase Sales";"15 Days";"Pinterest";0.13;500.0;0.11;"Los Angeles";350;2122;1;"2022-11-09";"Cozy Corners";"Male";"35-44";16.49
702878;"Brand Awareness";"15 Days";"Instagram";0.06;500.0;5.2;"New York";605;3312;5;"2022-01-20";"Cozy Corners";"Male";"35-44";18.27
896097;"Increase Sales";"15 Days";"Twitter";0.06;500.0;6.95;"Miami";610;3326;1;"2022-09-01";"Cozy Corners";"Male";"18-24";18.34
168492;"Market Expansion";"15 Days";"Instagram";0.08;500.0;4.66;"Los Angeles";612;3332;5;"2022-07-16";"Cozy Corners";"Male";"18-24";18.37
582033;"Increase Sales";"15 Days";"Pinterest";0.12;500.0;0.03;"Miami";359;2151;1;"2022-12-22";"Cozy Corners";"Male";"25-34";16.69
692803;"Market Expansion";"15 Days";"Instagram";0.14;500.0;1.4;"Miami";617;3347;2;"2022-05-19";"Cozy Corners";"Female";"45-60";18.43
199441;"Product Launch";"15 Days";"Facebook";0.06;500.0;4.31;"Miami";624;3369;8;"2022-12-21";"Cozy Corners";"Male";"45-60";18.52
398814;"Increase Sales";"15 Days";"Instagram";0.1;500.0;2.44;"Miami";625;3371;4;"2022-01-27";"Cozy Corners";"Female";"45-60";18.54
249094;"Product Launch";"15 Days";"Twitter";0.03;500.0;2.75;"Austin";630;3386;10;"2022-08-19";"Cozy Corners";"Male";"35-44";18.61
466369;"Market Expansion";"15 Days";"Pinterest";0.04;500.0;0.83;"Miami";372;2193;1;"2022-08-14";"Cozy Corners";"Both";"All ages";16.96
431443;"Brand Awareness";"15 Days";"Pinterest";0.05;500.0;1.23;"Austin";377;2210;1;"2022-03-26";"Cozy Corners";"Female";"25-34";17.06
376280;"Market Expansion";"15 Days";"Facebook";0.02;500.0;2.68;"New York";650;3446;6;"2022-10-19";"Cozy Corners";"Male";"18-24";18.86
896225;"Product Launch";"15 Days";"Facebook";0.08;500.0;5.27;"Las Vegas";655;3459;3;"2022-01-24";"Cozy Corners";"Male";"25-34";18.94
980540;"Brand Awareness";"15 Days";"Pinterest";0.11;500.0;0.63;"Miami";384;2233;1;"2022-06-14";"Cozy Corners";"Male";"35-44";17.2
718652;"Product Launch";"15 Days";"Instagram";0.02;500.0;1.6;"Los Angeles";663;3483;8;"2022-03-26";"Cozy Corners";"Male";"18-24";19.04
482669;"Market Expansion";"15 Days";"Instagram";0.1;500.0;6.34;"Miami";669;3500;4;"2022-11-16";"Cozy Corners";"Both";"All ages";19.11
285915;"Brand Awareness";"15 Days";"Twitter";0.02;500.0;7.85;"New York";669;3503;8;"2022-10-01";"Cozy Corners";"Female";"35-44";19.1
779710;"Brand Awareness";"15 Days";"Twitter";0.03;500.0;4.16;"Los Angeles";673;3515;8;"2022-10-07";"Cozy Corners";"Male";"18-24";19.15
152068;"Brand Awareness";"15 Days";"Facebook";0.12;500.0;6.63;"Austin";676;3521;5;"2022-07-15";"Cozy Corners";"Male";"35-44";19.2
341095;"Increase Sales";"15 Days";"Facebook";0.1;500.0;1.96;"Austin";686;3553;4;"2022-06-18";"Cozy Corners";"Female";"35-44";19.31
178828;"Increase Sales";"15 Days";"Instagram";0.1;500.0;6.15;"New York";687;3554;10;"2022-03-22";"Cozy Corners";"Female";"45-60";19.33
422331;"Brand Awareness";"15 Days";"Twitter";0.15;500.0;7.04;"Austin";690;3564;3;"2022-02-06";"Cozy Corners";"Female";"18-24";19.36
946140;"Market Expansion";"15 Days";"Instagram";0.09;500.0;6.66;"New York";698;3588;1;"2022-10-25";"Cozy Corners";"Male";"35-44";19.45
748793;"Market Expansion";"15 Days";"Pinterest";0.14;500.0;0.5;"Los Angeles";410;2317;1;"2022-05-13";"Cozy Corners";"Female";"45-60";17.7
492590;"Product Launch";"15 Days";"Twitter";0.07;500.0;5.22;"New York";706;3613;6;"2022-12-01";"Cozy Corners";"Male";"18-24";19.54
560259;"Market Expansion";"15 Days";"Pinterest";0.06;500.0;1.3;"Austin";425;2368;1;"2022-07-13";"Cozy Corners";"Male";"45-60";17.95
696760;"Increase Sales";"15 Days";"Facebook";0.1;500.0;6.92;"Miami";726;3670;9;"2022-12-21";"Cozy Corners";"Female";"35-44";19.78
167817;"Market Expansion";"15 Days";"Facebook";0.07;500.0;2.69;"Miami";727;3673;7;"2022-02-23";"Cozy Corners";"Female";"35-44";19.79
286964;"Product Launch";"15 Days";"Instagram";0.02;500.0;3.96;"Los Angeles";758;3765;5;"2022-02-03";"Cozy Corners";"Both";"All ages";20.13
237719;"Product Launch";"15 Days";"Twitter";0.14;500.0;4.58;"New York";774;3813;3;"2022-09-01";"Cozy Corners";"Male";"18-24";20.3
127442;"Brand Awareness";"15 Days";"Twitter";0.07;500.0;0.79;"Miami";775;3817;8;"2022-08-05";"Cozy Corners";"Female";"25-34";20.3
460675;"Brand Awareness";"15 Days";"Facebook";0.07;500.0;0.37;"Austin";778;3824;9;"2022-05-08";"Cozy Corners";"Male";"35-44";20.35
757773;"Market Expansion";"15 Days";"Instagram";0.04;500.0;3.08;"New York";783;3840;6;"2022-11-13";"Cozy Corners";"Male";"45-60";20.39
330951;"Market Expansion";"15 Days";"Instagram";0.06;500.0;4.05;"Los Angeles";785;3844;2;"2022-02-06";"Cozy Corners";"Both";"All ages";20.42
